G92,G2,91,1,1
G232,G3,231,2,1
G55,G4,54,3,1
G56,G4,55,3,1
G268,G4,267,3,1
G333,G4,332,3,1
G224,G6,223,5,1
G84,G8,83,7,1
G259,G10,258,9,1
G274,G10,273,9,1
G55,G11,54,10,1
G23,G19,22,18,1
G89,G19,88,18,1
G210,G19,209,18,1
G55,G23,54,22,1
G268,G23,267,22,1
G333,G23,332,22,1
G23,G55,22,54,1
G82,G57,81,56,1
G55,G58,54,57,1
G55,G60,54,59,1
G282,G60,281,59,1
G92,G69,91,68,1
G142,G77,141,76,1
G268,G77,267,76,1
G333,G77,332,76,1
G313,G78,312,77,1
G57,G82,56,81,1
G55,G83,54,82,1
G192,G83,191,82,1
G19,G89,18,88,1
G23,G89,22,88,1
G210,G89,209,88,1
G23,G93,22,92,1
G55,G95,54,94,1
G92,G99,91,98,1
G268,G99,267,98,1
G333,G99,332,98,1
G55,G106,54,105,1
G236,G106,235,105,1
G10,G110,9,109,1
G22,G110,21,109,1
G55,G110,54,109,1
G96,G110,95,109,1
G274,G110,273,109,1
G281,G110,280,109,1
G23,G113,22,112,1
G55,G113,54,112,1
G55,G128,54,127,1
G260,G128,259,127,1
G86,G144,85,143,1
G55,G145,54,144,1
G176,G145,175,144,1
G86,G150,85,149,1
G209,G150,208,149,1
G283,G150,282,149,1
G55,G151,54,150,1
G92,G151,91,150,1
G44,G160,43,159,1
G55,G160,54,159,1
G55,G161,54,160,1
G55,G167,54,166,1
G23,G183,22,182,1
G55,G183,54,182,1
G313,G187,312,186,1
G224,G188,223,187,1
G254,G188,253,187,1
G259,G188,258,187,1
G281,G188,280,187,1
G125,G189,124,188,1
G92,G192,91,191,1
G255,G192,254,191,1
G140,G197,139,196,1
G73,G201,72,200,1
G283,G203,282,202,1
G3,G204,2,203,1
G55,G204,54,203,1
G268,G204,267,203,1
G277,G204,276,203,1
G333,G204,332,203,1
G147,G207,146,206,1
G125,G209,124,208,1
G89,G210,88,209,1
G299,G216,298,215,1
G10,G219,9,218,1
G22,G219,21,218,1
G55,G219,54,218,1
G96,G219,95,218,1
G274,G219,273,218,1
G281,G219,280,218,1
G55,G236,54,235,1
G106,G236,105,235,1
G305,G243,304,242,1
G305,G246,304,245,1
G55,G247,54,246,1
G268,G247,267,246,1
G333,G247,332,246,1
G188,G254,187,253,1
G224,G254,223,253,1
G259,G254,258,253,1
G281,G254,280,253,1
G55,G259,54,258,1
G138,G259,137,258,1
G188,G259,187,258,1
G254,G259,253,258,1
G271,G259,270,258,1
G55,G260,54,259,1
G330,G263,329,262,1
G333,G268,332,267,1
G55,G269,54,268,1
G138,G271,137,270,1
G279,G273,278,272,1
G281,G273,280,272,1
G55,G277,54,276,1
G281,G279,280,278,1
G7,G281,6,280,1
G23,G281,22,280,1
G55,G283,54,282,1
G268,G283,267,282,1
G333,G283,332,282,1
G332,G284,331,283,1
G305,G289,304,288,1
G216,G299,215,298,1
G23,G303,22,302,1
G55,G303,54,302,1
G55,G305,54,304,1
G235,G305,234,304,1
G309,G305,308,304,1
G142,G306,141,305,1
G268,G306,267,305,1
G333,G306,332,305,1
G323,G309,322,308,1
G55,G315,54,314,1
G55,G316,54,315,1
G313,G316,312,315,1
G281,G319,280,318,1
G110,G329,109,328,1
G208,G329,207,328,1
G219,G329,218,328,1
G244,G331,243,330,1
G281,G331,280,330,1
G284,G332,283,331,1
G268,G333,267,332,1
G116,G340,115,339,1
G235,G340,234,339,1
G268,G340,267,339,1
G305,G340,304,339,1
G333,G340,332,339,1
G244,G342,243,341,1
G268,G342,267,341,1
G333,G342,332,341,1
G55,G343,54,342,1
G175,G343,174,342,1
G268,G343,267,342,1
G333,G343,332,342,1
G92,G351,91,350,1
G192,G351,191,350,1
G220,G351,219,350,1
G255,G351,254,350,1
G110,G353,109,352,1
G219,G353,218,352,1
G223,G363,222,362,1
G193,G367,192,366,1
G55,G392,54,391,1
G247,G392,246,391,1
G268,G392,267,391,1
G333,G392,332,391,1
G3,G394,2,393,1
G255,G398,254,397,1
G23,G400,22,399,1
G305,G408,304,407,1
G110,G413,109,412,1
G219,G413,218,412,1
G120,G418,119,417,1
G140,G422,139,421,1
G197,G422,196,421,1
G174,G424,173,423,1
G268,G424,267,423,1
G333,G424,332,423,1
G255,G425,254,424,1
G110,G431,109,430,1
G219,G431,218,430,1
G103,G433,102,432,1
G123,G433,122,432,1
G210,G433,209,432,1
G55,G434,54,433,1
G86,G437,85,436,1
G144,G437,143,436,1
G55,G443,54,442,1
G282,G443,281,442,1
G223,G444,222,443,1
G11,G448,10,447,1
G55,G448,54,447,1
G10,G449,9,448,1
G274,G449,273,448,1
G73,G450,72,449,1
G22,G454,21,453,1
G281,G454,280,453,1
G140,G465,139,464,1
G251,G469,250,468,1
G268,G480,267,479,1
G303,G480,302,479,1
G333,G480,332,479,1
G118,G482,117,481,1
G23,G488,22,487,1
G92,G488,91,487,1
G268,G488,267,487,1
G313,G488,312,487,1
G333,G488,332,487,1
G73,G490,72,489,1
G55,G492,54,491,1
G221,G492,220,491,1
G268,G492,267,491,1
G333,G492,332,491,1
G55,G495,54,494,1
G166,G495,165,494,1
G140,G518,139,517,1
G89,G519,88,518,1
G199,G519,198,518,1
G55,G525,54,524,1
G207,G534,206,533,1
G268,G534,267,533,1
G282,G534,281,533,1
G333,G534,332,533,1
G10,G538,9,537,1
G274,G538,273,537,1
G55,G539,54,538,1
G92,G544,91,543,1
G192,G544,191,543,1
G220,G544,219,543,1
G99,G548,98,547,1
G282,G548,281,547,1
G86,G558,85,557,1
G144,G558,143,557,1
G66,G561,65,560,1
G118,G565,117,564,1
G170,G565,169,564,1
G23,G572,22,571,1
G309,G574,308,573,1
G258,G579,257,578,1
G86,G587,85,586,1
G144,G587,143,586,1
G55,G589,54,588,1
G255,G592,254,591,1
G86,G593,85,592,1
G244,G593,243,592,1
G268,G593,267,592,1
G283,G593,282,592,1
G333,G593,332,592,1
G244,G600,243,599,1
G251,G621,250,620,1
G86,G632,85,631,1
G289,G634,288,633,1
G305,G634,304,633,1
G244,G650,243,649,1
G199,G657,198,656,1
G235,G658,234,657,1
G92,G659,91,658,1
G281,G659,280,658,1
G282,G659,281,658,1
G313,G659,312,658,1
G125,G665,124,664,1
G259,G666,258,665,1
G281,G666,280,665,1
G205,G673,204,672,1
G244,G673,243,672,1
G92,G678,91,677,1
G116,G678,115,677,1
G192,G678,191,677,1
G220,G678,219,677,1
G255,G678,254,677,1
G55,G681,54,680,1
G23,G684,22,683,1
G92,G684,91,683,1
G268,G684,267,683,1
G313,G684,312,683,1
G333,G684,332,683,1
G2,G688,1,687,1
G92,G688,91,687,1
G55,G691,54,690,1
G128,G691,127,690,1
G260,G691,259,690,1
G8,G700,7,699,1
G84,G700,83,699,1
G55,G702,54,701,1
G313,G702,312,701,1
